RNA1 name,RNA2 name,RNA1 chromosome,Start of RNA1 first read,Start of RNA1 last read,RNA1 strand,RNA2 chromosome,Start of RNA2 last read,Start of RNA2 first read,RNA2 strand,Number of interactions,Other interactions of RNA1,Other interactions of RNA2,Total other interactions,Odds ratio,Fishers exact test p-value,RNA1 type,RNA2 type
ArcZ,spaT#gene2917,NC_016810,3511814,3511865,+,NC_016810,3053533,3053956,-,19848,96553,11038,19609291,365.1930305,0,sRNA,CDS
pitA#gene3615.5UTR,MgrR,NC_016810,3779842,3779927,+,NC_016810,1550812,1550844,+,12990,3815,30238,19689687,2217.176968,0,5UTR,sRNA
ArcZ,SL1344_1190#gene1208.5UTR,NC_016810,3511812,3511864,+,NC_016810,1295301,1295519,-,6543,109858,6764,19613565,172.7023202,0,sRNA,5UTR
GcvB,MgrR,NC_016810,3156779,3157157,+,NC_016810,1550780,1550845,+,4364,856233,39447,18836686,2.433791098,0,sRNA,sRNA
ompX:5UTR#gene825,CyaR,NC_016810,898739,899102,+,NC_016810,2228891,2228933,+,4196,12103,68291,19652140,99.76743881,0,sRNA,sRNA
SL1344_2984#gene3039.5UTR,MgrR,NC_016810,3185653,3185843,+,NC_016810,1550808,1550844,+,4025,19889,39203,19673613,101.5588463,0,5UTR,sRNA
hilC#gene2899,STnc870,NC_016810,3035182,3035490,-,NC_016810,4292569,4292599,+,3553,124844,17652,19590681,31.58516476,0,CDS,sRNA
hilC#gene2899,MgrR,NC_016810,3034705,3035199,-,NC_016810,1550808,1550844,+,3000,38585,40228,19654917,37.98792071,0,CDS,sRNA
mutY#gene3141.SL1344_3084#gene3140.IGR,MgrR,NC_016810,3289412,3289465,-,NC_016810,1550824,1550844,+,2518,828,40710,19692674,1471.055229,0,IGR,sRNA
sptP#gene2910,InvR,NC_016810,3045424,3045832,-,NC_016810,3067533,3067587,+,2343,18584,330687,19385116,7.390679575,0,CDS,sRNA
SL1344_4339#gene4426.5UTR,STnc440,NC_016810,4663886,4664110,+,NC_016810,4580500,4580566,+,2084,93169,44142,19597335,9.930503999,0,5UTR,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,ArcZ,NC_016810,2594633,2594707,-,NC_016810,3511828,3511919,+,1867,81418,40048,19613397,11.2304168,0,IGR,sRNA
tRNA-Leu#rna62,ChiX,NC_016810,3482489,3482494,-,NC_016810,555565,555574,+,1812,740,9699225,10034953,2.533405927,1.81E-104,tRNA,sRNA
glpT#gene2291,CyaR,NC_016810,2386902,2387399,-,NC_016810,2228878,2228933,+,1728,78686,70759,19585557,6.078557232,0,CDS,sRNA
STnc440,mdh#gene3387.5UTR,NC_016810,4580489,4580501,+,NC_016810,3549062,3549125,-,1638,44732,2268,19688092,317.8748448,0,sRNA,5UTR
ArcZ,aspA#gene4347,NC_016810,3511861,3511864,+,NC_016810,4592472,4592899,-,1350,115051,8650,19611679,26.60369985,0,sRNA,CDS
SL1344_2713#gene2763,InvR,NC_016810,2892578,2892916,-,NC_016810,3067532,3067588,+,1311,3864,331719,19399836,19.84235818,0,CDS,sRNA
glmU#gene3889.glmS#gene3888.IGR,GlmZ,NC_016810,4092049,4092364,-,NC_016810,4163318,4163399,+,1059,5899,14256,19715516,248.2721615,0,IGR,sRNA
SL1344_1221#gene1240.5UTR,STnc470,NC_016810,1320987,1321014,+,NC_016810,94651,94693,-,974,4320,386,19731050,11524.92486,0,5UTR,sRNA
GcvB,rmf#gene1022,NC_016810,3156865,3156935,+,NC_016810,1114135,1114176,+,917,849936,1384,18884493,14.72150974,0,sRNA,CDS
ArcZ,pps#gene1304,NC_016810,3511862,3511863,+,NC_016810,1385138,1385324,+,902,115499,663,19619666,231.1034319,0,sRNA,CDS
invA#gene2927,MicA,NC_016810,3060697,3061077,-,NC_016810,2989455,2989506,+,868,25639,4173,19706050,159.8710541,0,CDS,sRNA
ArcZ,sucD#gene733,NC_016810,3511862,3511865,+,NC_016810,806350,806647,+,848,115553,3170,19617159,45.41418,0,sRNA,CDS
tRNA-Asp#rna5,DapZ,NC_016810,294819,294820,+,NC_016810,74872,74924,+,810,2636,260516,19472768,22.96851415,0,tRNA,sRNA
ompD#gene1523,InvR,NC_016810,1612501,1612698,+,NC_016810,3067536,3067588,+,808,5786,332222,19397914,8.15379095,0,CDS,sRNA
SL1344_4339#gene4426.5UTR,InvR,NC_016810,4663878,4663899,+,NC_016810,3067527,3067587,+,803,17527,332227,19386173,2.673407229,4.80E-117,5UTR,sRNA
ArcZ,prgH#gene2906,NC_016810,3511862,3511868,+,NC_016810,3039522,3039655,-,747,115654,15995,19604334,7.916401138,0,sRNA,CDS
RyeF,SL1344_1663#gene1684,NC_016810,1958590,1958592,-,NC_016810,1784928,1784943,-,725,5446,26874,19703685,97.60577466,0,sRNA,CDS
oppA#gene1698.5UTR,MicF,NC_016810,1798101,1798344,-,NC_016810,2364674,2364722,+,707,20748,83320,19631955,8.028926146,0,5UTR,sRNA
ArcZ,tar#gene1876.RUF_125.IGR,NC_016810,3511861,3511864,+,NC_016810,1972237,1972326,-,691,115710,2847,19617482,41.14934716,0,sRNA,IGR
ArcZ,SL1344_2698#gene2749,NC_016810,3511861,3511864,+,NC_016810,2879725,2880200,-,678,115723,1579,19618750,72.79460824,0,sRNA,CDS
ArcZ,napF#gene2270,NC_016810,3511861,3511867,+,NC_016810,2356727,2357173,-,636,115765,2138,19618191,50.41167145,0,sRNA,CDS
ArcZ,kup#gene3907.5UTR,NC_016810,3511862,3511867,+,NC_016810,4110628,4111083,+,619,115782,2356,19617973,44.51726227,0,sRNA,5UTR
ArcZ,gcvP#gene3085,NC_016810,3511861,3511863,+,NC_016810,3234984,3235082,-,615,115786,492,19619837,211.8114129,0,sRNA,CDS
RUF_167,STnc2040,NC_016810,1014899,1015055,-,NC_016810,1819354,1819385,-,610,610,23908,19711602,824.4772461,0,sRNA,sRNA
ArcZ,invC#gene2925,NC_016810,3511861,3511863,+,NC_016810,3059805,3060274,-,607,115794,6288,19614041,16.35148425,0,sRNA,CDS
atpI#gene3899,CyaR,NC_016810,4101367,4101698,-,NC_016810,2228891,2228932,+,605,12406,71882,19651837,13.33234671,0,CDS,sRNA
STnc870,SL1344_4249#gene4332,NC_016810,4292541,4292544,+,NC_016810,4581109,4581491,-,603,17678,5687,19712762,118.2356472,0,sRNA,CDS
STnc870,alaS#gene2859,NC_016810,4292542,4292555,+,NC_016810,2993978,2994275,-,601,17680,12414,19706035,53.96096654,0,sRNA,CDS
sopE#gene2725,SL1344_1968#gene1996,NC_016810,2863144,2863525,+,NC_016810,2073568,2073619,+,591,3282,213942,19518915,16.42890149,0,CDS,CDS
hns#gene1703,InvR,NC_016810,1804450,1804482,+,NC_016810,3067533,3067588,+,585,3669,332445,19400031,9.30445142,0,CDS,sRNA
SL1344_3112#gene3169,CyaR,NC_016810,3321330,3321765,-,NC_016810,2228888,2228932,+,579,12639,71908,19651604,12.51949019,0,CDS,sRNA
lppA#gene1331.5UTR,RyfD,NC_016810,1416465,1416505,-,NC_016810,2805082,2805247,-,574,17341,12843,19705972,50.78893814,0,5UTR,sRNA
ArcZ,SL1344_1685#gene1706.5UTR,NC_016810,3511862,3511864,+,NC_016810,1807742,1808061,-,572,115829,2409,19617920,40.21563042,0,sRNA,5UTR
SL1344_3569#gene3630.5UTR,FnrS,NC_016810,3799862,3800184,-,NC_016810,1706784,1706849,-,570,3050,110487,19622623,33.19104261,0,5UTR,sRNA
ArcZ,SL1344_2208#gene2241,NC_016810,3511862,3511863,+,NC_016810,2331128,2331142,+,555,115846,59,19620270,1593.180229,0,sRNA,CDS
flgK#gene1138,DapZ,NC_016810,1222417,1222697,+,NC_016810,74873,74924,+,553,3537,260773,19471867,11.67441272,0,CDS,sRNA
ArcZ,orgAb#gene2901,NC_016810,3511862,3511873,+,NC_016810,3036211,3036577,-,549,115852,10508,19609821,8.843463225,1.14E-298,sRNA,CDS
ompD#gene1523,ArcZ,NC_016810,1612244,1612665,+,NC_016810,3511883,3511918,+,538,17520,41377,19677295,14.60341984,0,CDS,sRNA
ArcZ,SL1344_1896#gene1922.5UTR,NC_016810,3511861,3511863,+,NC_016810,2012961,2013227,+,535,115866,832,19619497,108.8835596,0,sRNA,5UTR
SL1344_2445#gene2491.acrD#gene2490.IGR,cspB#gene1950.5UTR,NC_016810,2594633,2594669,-,NC_016810,2036674,2037091,-,526,80257,4398,19651549,29.28494319,0,IGR,5UTR
ais#gene2304.5UTR,ChiX,NC_016810,2401463,2401492,-,NC_016810,555565,555574,+,521,115,9700516,10035578,4.686918885,3.37E-59,5UTR,sRNA
miaA#gene4381,CyaR,NC_016810,4625006,4625432,+,NC_016810,2228871,2228932,+,500,14341,71987,19649902,9.516930159,5.38E-287,CDS,sRNA
